HomeTeam,AwayTeam,FTHG,FTAG,FTR
Alaves,Ath Bilbao,2,4,A
Osasuna,Barcelona,1,2,A
Celta,Elche,3,1,H
Getafe,Vallecano,0,2,A
Betis,Oviedo,3,0,H
Espanol,Real Madrid,0,2,A
Sevilla,Sociedad,1,0,H
Levante,Osasuna,3,2,H
Elche,Alaves,1,1,D
Sevilla,Espanol,2,1,H
Ath Madrid,Celta,0,1,A
Sociedad,Betis,2,2,D
Mallorca,Villarreal,1,1,D
Ath Bilbao,Valencia,0,1,A
Oviedo,Getafe,0,0,D
Barcelona,Real Madrid,2,0,H
Vallecano,Girona,1,1,D
Celta,Levante,2,3,A
Betis,Elche,2,1,H
Osasuna,Ath Madrid,1,2,A
Espanol,Ath Bilbao,2,0,H
Villarreal,Sevilla,2,3,A
Alaves,Barcelona,1,0,H
Getafe,Mallorca,3,1,H
Valencia,Vallecano,1,1,D
Girona,Sociedad,1,1,D
Real Madrid,Oviedo,2,0,H
Ath Bilbao,Celta,1,1,D
Ath Madrid,Girona,1,0,H
Elche,Getafe,1,0,H
Levante,Mallorca,2,0,H
Osasuna,Espanol,1,2,A
Oviedo,Alaves,0,1,A
Sevilla,Real Madrid,0,1,A
Sociedad,Valencia,3,4,A
Vallecano,Villarreal,2,0,H
Barcelona,Betis,3,1,H
Alaves,Vallecano,1,2,A
Betis,Levante,2,1,H
Celta,Sevilla,1,0,H
Espanol,Sociedad,1,1,D
Getafe,Osasuna,1,0,H
Girona,Elche,1,1,D
Mallorca,Oviedo,3,0,H
Real Madrid,Ath Bilbao,4,2,H
Valencia,Barcelona,3,1,H
Villarreal,Ath Madrid,5,1,H
Rennes,Marseille,1,0,H
Lens,Lyon,0,1,A
Monaco,Le Havre,3,1,H
Nice,Toulouse,0,1,A
Brest,Lille,3,3,D
Angers,Paris FC,1,0,H
Auxerre,Lorient,1,0,H
Metz,Strasbourg,0,1,A
Nantes,Paris SG,0,1,A
Paris SG,Angers,1,0,H
Marseille,Paris FC,5,2,H
Nice,Auxerre,3,1,H
Lyon,Metz,3,0,H
Lorient,Rennes,4,0,H
Le Havre,Lens,1,2,A
Strasbourg,Nantes,1,0,H
Toulouse,Brest,2,0,H
Lille,Monaco,1,0,H
Lens,Brest,3,1,H
Lorient,Lille,1,7,A
Nantes,Auxerre,1,0,H
Toulouse,Paris SG,3,6,A
Angers,Rennes,1,1,D
Le Havre,Nice,3,1,H
Monaco,Strasbourg,3,2,H
Paris FC,Metz,3,2,H
Lyon,Marseille,1,0,H
Marseille,Lorient,4,0,H
Nice,Nantes,1,0,H
Auxerre,Monaco,1,2,A
Lille,Toulouse,2,1,H
Brest,Paris FC,1,2,A
Metz,Angers,1,1,D
Paris SG,Lens,2,0,H
Strasbourg,Le Havre,1,0,H
Rennes,Lyon,3,1,H
Lyon,Angers,1,0,H
Nantes,Rennes,2,2,D
Brest,Nice,4,1,H
Lens,Lille,3,0,H
Paris FC,Strasbourg,2,3,A
Auxerre,Toulouse,1,0,H
Le Havre,Lorient,1,1,D
Monaco,Metz,5,2,H
Marseille,Paris SG,1,0,H
Strasbourg,Marseille,1,2,A
Lorient,Monaco,3,1,H
Toulouse,Nantes,2,2,D
Paris SG,Auxerre,2,0,H
Nice,Paris FC,1,1,D
Angers,Brest,0,2,A
Lille,Lyon,0,1,A
Metz,Le Havre,0,0,D
Rennes,Lens,0,0,D
Paris FC,Lorient,2,0,H
Metz,Marseille,0,3,A
Brest,Nantes,0,0,D
Auxerre,Lens,1,2,A
Lyon,Toulouse,1,2,A
Le Havre,Rennes,2,2,D
Monaco,Nice,2,2,D
Strasbourg,Angers,5,0,H
Lille,Paris SG,1,1,D
Paris SG,Strasbourg,3,3,D
Nice,Lyon,3,2,H
Angers,Monaco,1,1,D
Marseille,Le Havre,6,2,H
Lens,Paris FC,2,1,H
Lorient,Brest,3,3,D
Rennes,Auxerre,2,2,D
Toulouse,Metz,4,0,H
Nantes,Lille,0,2,A
Paris FC,Nantes,1,2,A
Brest,Paris SG,0,3,A
Monaco,Toulouse,1,0,H
Lens,Marseille,2,1,H
Lille,Metz,6,1,H
Angers,Lorient,2,0,H
Auxerre,Le Havre,0,1,A
Rennes,Nice,1,2,A
Lyon,Strasbourg,2,1,H
Le Havre,Brest,1,0,H
Lorient,Paris SG,1,1,D
Metz,Lens,2,0,H
Nice,Lille,2,0,H
Marseille,Angers,2,2,D
Nantes,Monaco,3,5,A
Paris FC,Lyon,3,3,D
Strasbourg,Auxerre,3,0,H
Toulouse,Rennes,2,2,D
Paris SG,Nice,1,0,H
Monaco,Paris FC,0,1,A
Auxerre,Marseille,0,1,A
Rennes,Strasbourg,4,1,H
Lens,Lorient,3,0,H
Lille,Angers,1,0,H
Nantes,Metz,0,2,A
Toulouse,Le Havre,0,0,D
Brest,Lyon,0,0,D
Paris FC,Rennes,0,1,A
Marseille,Brest,3,0,H
Le Havre,Nantes,1,1,D
Monaco,Lens,1,4,A
Lorient,Toulouse,1,1,D
Angers,Auxerre,2,0,H
Metz,Nice,2,1,H
Strasbourg,Lille,2,0,H
Lyon,Paris SG,2,3,A
Nice,Marseille,1,5,A
Lens,Strasbourg,1,0,H
Rennes,Monaco,4,1,H
Paris SG,Le Havre,3,0,H
Auxerre,Lyon,0,0,D
Brest,Metz,3,2,H
Nantes,Lorient,1,1,D
Toulouse,Angers,0,1,A
Lille,Paris FC,4,2,H
Metz,Rennes,0,1,A
Monaco,Paris SG,1,0,H
Paris FC,Auxerre,1,1,D
Marseille,Toulouse,2,2,D
Strasbourg,Brest,1,2,A
Angers,Lens,1,2,A
Le Havre,Lille,0,1,A
Lorient,Nice,3,1,H
Lyon,Nantes,3,0,H
Brest,Monaco,1,0,H
Lille,Marseille,1,0,H
Nantes,Lens,1,2,A
Toulouse,Strasbourg,1,0,H
Paris SG,Rennes,5,0,H
Nice,Angers,0,1,A
Auxerre,Metz,3,1,H
Le Havre,Paris FC,0,0,D
Lorient,Lyon,1,0,H
Angers,Nantes,4,1,H
Rennes,Brest,3,1,H
Metz,Paris SG,2,3,A
Paris FC,Toulouse,0,3,A
Lyon,Le Havre,1,0,H
Auxerre,Lille,3,4,A
Lens,Nice,2,0,H
Strasbourg,Lorient,0,0,D
Marseille,Monaco,1,0,H
Toulouse,Lens,0,3,A
Monaco,Lyon,1,3,A
Nice,Strasbourg,1,1,D
Lille,Rennes,0,2,A
Marseille,Nantes,0,2,A
Brest,Auxerre,2,0,H
Le Havre,Angers,2,1,H
Lorient,Metz,1,1,D
Paris SG,Paris FC,2,1,H
Monaco,Lorient,1,3,A
Paris SG,Lille,3,0,H
Lens,Auxerre,1,0,H
Toulouse,Nice,5,1,H
Angers,Marseille,2,5,A
Strasbourg,Metz,2,1,H
Nantes,Paris FC,1,2,A
Rennes,Le Havre,1,1,D
Lyon,Brest,2,1,H
Auxerre,Paris SG,0,1,A
Rennes,Lorient,0,2,A
Le Havre,Monaco,0,0,D
Marseille,Lens,3,1,H
Nantes,Nice,1,4,A
Brest,Toulouse,0,2,A
Metz,Lyon,2,5,A
Paris FC,Angers,0,0,D
Lille,Strasbourg,1,4,A
Lens,Le Havre,1,0,H
Paris FC,Marseille,2,2,D
Lorient,Nantes,2,1,H
Monaco,Rennes,4,0,H
Lyon,Lille,1,0,H
Angers,Metz,1,0,H
Nice,Brest,2,2,D
Toulouse,Auxerre,0,0,D
Strasbourg,Paris SG,1,2,A
Metz,Lille,0,0,D
Lens,Rennes,3,1,H
Brest,Lorient,2,0,H
Nantes,Lyon,0,1,A
Nice,Monaco,0,0,D
Angers,Toulouse,1,0,H
Auxerre,Paris FC,0,0,D
Le Havre,Strasbourg,2,1,H
Paris SG,Marseille,5,0,H
Rennes,Paris SG,3,1,H
Monaco,Nantes,3,1,H
Marseille,Strasbourg,2,2,D
Lille,Brest,1,1,D
Paris FC,Lens,0,5,A
Le Havre,Toulouse,2,1,H
Lorient,Angers,2,0,H
Metz,Auxerre,1,3,A
Lyon,Nice,2,0,H
Brest,Marseille,2,0,H
Lens,Monaco,2,3,A
Toulouse,Paris FC,1,1,D
Paris SG,Metz,3,0,H
Auxerre,Rennes,0,3,A
Angers,Lille,0,1,A
Nantes,Le Havre,2,0,H
Nice,Lorient,3,3,D
Strasbourg,Lyon,3,1,H
Strasbourg,Lens,1,1,D
Rennes,Toulouse,1,0,H
Monaco,Angers,2,0,H
Le Havre,Paris SG,0,1,A
Paris FC,Nice,1,0,H
Lille,Nantes,1,0,H
Lorient,Auxerre,2,2,D
Metz,Brest,0,1,A
Marseille,Lyon,3,2,H
Paris SG,Monaco,1,3,A
Nantes,Angers,0,1,A
Auxerre,Strasbourg,0,0,D
Toulouse,Marseille,0,1,A
Lens,Metz,3,0,H
Brest,Le Havre,2,0,H
Lille,Lorient,1,1,D
Nice,Rennes,0,4,A
Lyon,Paris FC,1,1,D
Marseille,Auxerre,1,0,H
Lorient,Lens,2,1,H
Angers,Nice,0,2,A
Monaco,Brest,2,0,H
Strasbourg,Paris FC,0,0,D
Le Havre,Lyon,0,0,D
Metz,Toulouse,3,4,A
Rennes,Lille,1,2,A
Lens,Angers,5,1,H
Toulouse,Lorient,1,0,H
Auxerre,Brest,3,0,H
Nice,Paris SG,0,4,A
Lyon,Monaco,1,2,A
Marseille,Lille,1,2,A
Paris FC,Le Havre,3,2,H
Rennes,Metz,0,0,D
Nantes,Strasbourg,2,3,A
Paris SG,Toulouse,3,1,H
Strasbourg,Nice,3,1,H
Brest,Rennes,3,4,A
Lille,Lens,3,0,H
Angers,Lyon,0,0,D
Le Havre,Auxerre,1,1,D
Lorient,Paris FC,1,1,D
Metz,Nantes,0,0,D
Monaco,Marseille,2,1,H
Paris FC,Monaco,4,1,H
Marseille,Metz,3,1,H
Auxerre,Nantes,0,0,D
Rennes,Angers,2,1,H
Nice,Le Havre,1,1,D
Toulouse,Lille,0,4,A
Lyon,Lorient,2,0,H
Lens,Toulouse,3,2,H
Lorient,Marseille,2,0,H
Angers,Le Havre,1,1,D
Lille,Nice,0,0,D
Monaco,Auxerre,2,2,D
Metz,Paris FC,1,3,A
Nantes,Brest,1,1,D
Strasbourg,Rennes,0,3,A
Paris SG,Lyon,1,2,A
Paris SG,Nantes,3,0,H
Brest,Lens,3,3,D
Lyon,Auxerre,3,2,H
Angers,Paris SG,0,3,A
Toulouse,Monaco,2,2,D
Lorient,Strasbourg,2,3,A
Le Havre,Metz,4,4,D
Paris FC,Lille,0,1,A
Rennes,Nantes,2,1,H
Marseille,Nice,1,1,D
Nantes,Marseille,3,0,H
Paris SG,Lorient,2,2,D
Metz,Monaco,1,2,A
Nice,Lens,1,1,D
Lille,Le Havre,1,1,D
Auxerre,Angers,3,1,H
Paris FC,Brest,4,0,H
Strasbourg,Toulouse,1,2,A
Lyon,Rennes,4,2,H
Lens,Nantes,1,0,H
Angers,Strasbourg,1,1,D
Auxerre,Nice,2,1,H
Le Havre,Marseille,0,1,A
Metz,Lorient,0,4,A
Monaco,Lille,0,1,A
Paris SG,Brest,1,0,H
Rennes,Paris FC,2,1,H
Toulouse,Lyon,2,1,H
Brest,Strasbourg,1,2,A
Lens,Paris SG,0,2,A
Brest,Angers,1,1,D
Lille,Auxerre,0,2,A
Lorient,Le Havre,0,2,A
Lyon,Lens,0,4,A
Marseille,Rennes,3,1,H
Nice,Metz,0,0,D
Paris FC,Paris SG,2,1,H
Strasbourg,Monaco,5,4,H
Bayern Munich,RB Leipzig,6,0,H
Ein Frankfurt,Werder Bremen,4,1,H
Freiburg,Augsburg,1,3,A
Heidenheim,Wolfsburg,1,3,A
Leverkusen,Hoffenheim,1,2,A
Union Berlin,Stuttgart,2,1,H
St Pauli,Dortmund,3,3,D
Mainz,FC Koln,0,1,A
M'gladbach,Hamburg,0,0,D
Hamburg,St Pauli,0,2,A
Hoffenheim,Ein Frankfurt,1,3,A
RB Leipzig,Heidenheim,2,0,H
Stuttgart,M'gladbach,1,0,H
Werder Bremen,Leverkusen,3,3,D
Augsburg,Bayern Munich,2,3,A
Wolfsburg,Mainz,1,1,D
Dortmund,Union Berlin,3,0,H
FC Koln,Freiburg,4,1,H
Leverkusen,Ein Frankfurt,3,1,H
Freiburg,Stuttgart,3,1,H
Heidenheim,Dortmund,0,2,A
Mainz,RB Leipzig,0,1,A
Union Berlin,Hoffenheim,2,4,A
Wolfsburg,FC Koln,3,3,D
Bayern Munich,Hamburg,5,0,H
St Pauli,Augsburg,2,1,H
M'gladbach,Werder Bremen,0,4,A
Stuttgart,St Pauli,2,0,H
Augsburg,Mainz,1,4,A
Hamburg,Heidenheim,2,1,H
Hoffenheim,Bayern Munich,1,4,A
Werder Bremen,Freiburg,0,3,A
RB Leipzig,FC Koln,3,1,H
Ein Frankfurt,Union Berlin,3,4,A
Leverkusen,M'gladbach,1,1,D
Dortmund,Wolfsburg,1,0,H
Bayern Munich,Werder Bremen,4,0,H
Heidenheim,Augsburg,2,1,H
Mainz,Dortmund,0,2,A
St Pauli,Leverkusen,1,2,A
Wolfsburg,RB Leipzig,0,1,A
M'gladbach,Ein Frankfurt,4,6,A
Freiburg,Hoffenheim,1,1,D
FC Koln,Stuttgart,1,2,A
Union Berlin,Hamburg,0,0,D
Hoffenheim,FC Koln,0,1,A
Augsburg,Wolfsburg,3,1,H
Dortmund,RB Leipzig,1,1,D
Leverkusen,Union Berlin,2,0,H
Werder Bremen,St Pauli,1,0,H
Ein Frankfurt,Bayern Munich,0,3,A
Stuttgart,Heidenheim,1,0,H
Hamburg,Mainz,4,0,H
M'gladbach,Freiburg,0,0,D
Union Berlin,M'gladbach,3,1,H
FC Koln,Augsburg,1,1,D
Heidenheim,Werder Bremen,2,2,D
Mainz,Leverkusen,3,4,A
RB Leipzig,Hamburg,2,1,H
Wolfsburg,Stuttgart,0,3,A
Bayern Munich,Dortmund,2,1,H
Freiburg,Ein Frankfurt,2,2,D
St Pauli,Hoffenheim,0,3,A
Werder Bremen,Union Berlin,1,0,H
Augsburg,RB Leipzig,0,6,A
Ein Frankfurt,St Pauli,2,0,H
Hamburg,Wolfsburg,0,1,A
Hoffenheim,Heidenheim,3,1,H
M'gladbach,Bayern Munich,0,3,A
Dortmund,FC Koln,1,0,H
Leverkusen,Freiburg,2,0,H
Stuttgart,Mainz,2,1,H
Augsburg,Dortmund,0,1,A
Heidenheim,Ein Frankfurt,1,1,D
Mainz,Werder Bremen,1,1,D
RB Leipzig,Stuttgart,3,1,H
St Pauli,M'gladbach,0,4,A
Union Berlin,Freiburg,0,0,D
Bayern Munich,Leverkusen,3,0,H
FC Koln,Hamburg,4,1,H
Wolfsburg,Hoffenheim,2,3,A
Werder Bremen,Wolfsburg,2,1,H
Hamburg,Dortmund,1,1,D
Hoffenheim,RB Leipzig,3,1,H
Leverkusen,Heidenheim,6,0,H
Union Berlin,Bayern Munich,2,2,D
M'gladbach,FC Koln,3,1,H
Freiburg,St Pauli,2,1,H
Stuttgart,Augsburg,3,2,H
Ein Frankfurt,Mainz,1,0,H
Mainz,Hoffenheim,1,1,D
Augsburg,Hamburg,1,0,H
Bayern Munich,Freiburg,6,2,H
Dortmund,Stuttgart,3,3,D
Heidenheim,M'gladbach,0,3,A
Wolfsburg,Leverkusen,1,3,A
FC Koln,Ein Frankfurt,3,4,A
RB Leipzig,Werder Bremen,2,0,H
St Pauli,Union Berlin,0,1,A
M'gladbach,RB Leipzig,0,0,D
Bayern Munich,St Pauli,3,1,H
Hoffenheim,Augsburg,3,0,H
Union Berlin,Heidenheim,1,2,A
Werder Bremen,FC Koln,1,1,D
Leverkusen,Dortmund,1,2,A
Hamburg,Stuttgart,2,1,H
Ein Frankfurt,Wolfsburg,1,1,D
Freiburg,Mainz,4,0,H
Mainz,M'gladbach,0,1,A
Augsburg,Leverkusen,2,0,H
FC Koln,St Pauli,1,1,D
Heidenheim,Freiburg,2,1,H
Stuttgart,Bayern Munich,0,5,A
Wolfsburg,Union Berlin,3,1,H
RB Leipzig,Ein Frankfurt,6,0,H
Hamburg,Werder Bremen,3,2,H
Dortmund,Hoffenheim,2,0,H
Union Berlin,RB Leipzig,3,1,H
Ein Frankfurt,Augsburg,1,0,H
Hoffenheim,Hamburg,4,1,H
M'gladbach,Wolfsburg,1,3,A
St Pauli,Heidenheim,2,1,H
Leverkusen,FC Koln,2,0,H
Freiburg,Dortmund,1,1,D
Bayern Munich,Mainz,2,2,D
Werder Bremen,Stuttgart,0,4,A
Dortmund,M'gladbach,2,0,H
Augsburg,Werder Bremen,0,0,D
FC Koln,Union Berlin,0,1,A
Hamburg,Ein Frankfurt,1,1,D
Stuttgart,Hoffenheim,0,0,D
Wolfsburg,Freiburg,3,4,A
RB Leipzig,Leverkusen,1,3,A
Mainz,St Pauli,0,0,D
Heidenheim,Bayern Munich,0,4,A
Ein Frankfurt,Dortmund,3,3,D
Freiburg,Hamburg,2,1,H
Heidenheim,FC Koln,2,2,D
Union Berlin,Mainz,2,2,D
Leverkusen,Stuttgart,1,4,A
M'gladbach,Augsburg,4,0,H
Bayern Munich,Wolfsburg,8,1,H
Stuttgart,Ein Frankfurt,3,2,H
Dortmund,Werder Bremen,3,0,H
Mainz,Heidenheim,2,1,H
Wolfsburg,St Pauli,2,1,H
FC Koln,Bayern Munich,1,3,A
Hoffenheim,M'gladbach,5,1,H
RB Leipzig,Freiburg,2,0,H
Augsburg,Union Berlin,1,1,D
Werder Bremen,Ein Frankfurt,3,3,D
Dortmund,St Pauli,3,2,H
FC Koln,Mainz,2,1,H
Hamburg,M'gladbach,0,0,D
Hoffenheim,Leverkusen,1,0,H
Wolfsburg,Heidenheim,1,1,D
RB Leipzig,Bayern Munich,1,5,A
Stuttgart,Union Berlin,1,1,D
Augsburg,Freiburg,2,2,D
St Pauli,Hamburg,0,0,D
Bayern Munich,Augsburg,1,2,A
Ein Frankfurt,Hoffenheim,1,3,A
Heidenheim,RB Leipzig,0,3,A
Leverkusen,Werder Bremen,1,0,H
Mainz,Wolfsburg,3,1,H
Union Berlin,Dortmund,0,3,A
M'gladbach,Stuttgart,0,3,A
Freiburg,FC Koln,2,1,H
St Pauli,RB Leipzig,1,1,D
Werder Bremen,Hoffenheim,0,2,A
FC Koln,Wolfsburg,1,0,H
Augsburg,St Pauli,2,1,H
Ein Frankfurt,Leverkusen,1,3,A
Hoffenheim,Union Berlin,3,1,H
RB Leipzig,Mainz,1,2,A
Werder Bremen,M'gladbach,1,1,D
Hamburg,Bayern Munich,2,2,D
Stuttgart,Freiburg,1,0,H
Dortmund,Heidenheim,3,2,H
Union Berlin,Ein Frankfurt,1,1,D
Freiburg,Werder Bremen,1,0,H
Heidenheim,Hamburg,0,2,A
Mainz,Augsburg,2,0,H
St Pauli,Stuttgart,2,1,H
Wolfsburg,Dortmund,1,2,A
M'gladbach,Leverkusen,1,1,D
FC Koln,RB Leipzig,1,2,A
Bayern Munich,Hoffenheim,5,1,H
Dortmund,Mainz,4,0,H
Ein Frankfurt,M'gladbach,3,0,H
Hamburg,Union Berlin,3,2,H
Hoffenheim,Freiburg,3,0,H
Leverkusen,St Pauli,4,0,H
Werder Bremen,Bayern Munich,0,3,A
Stuttgart,FC Koln,3,1,H
Augsburg,Heidenheim,1,0,H
RB Leipzig,Wolfsburg,2,2,D
Mainz,Hamburg,1,1,D
Bayern Munich,Ein Frankfurt,3,2,H
FC Koln,Hoffenheim,2,2,D
Union Berlin,Leverkusen,1,0,H
Wolfsburg,Augsburg,2,3,A
RB Leipzig,Dortmund,2,2,D
Freiburg,M'gladbach,2,1,H
St Pauli,Werder Bremen,2,1,H
Heidenheim,Stuttgart,3,3,D
Augsburg,FC Koln,2,0,H
Hoffenheim,St Pauli,0,1,A
Leverkusen,Mainz,1,1,D
M'gladbach,Union Berlin,1,0,H
Werder Bremen,Heidenheim,2,0,H
Dortmund,Bayern Munich,2,3,A
Stuttgart,Wolfsburg,4,0,H
Ein Frankfurt,Freiburg,2,0,H
Hamburg,RB Leipzig,1,2,A
Hamburg,Leverkusen,0,1,A
Bayern Munich,M'gladbach,4,1,H
Freiburg,Leverkusen,3,3,D
Heidenheim,Hoffenheim,2,4,A
Mainz,Stuttgart,2,2,D
RB Leipzig,Augsburg,2,1,H
Wolfsburg,Hamburg,1,2,A
FC Koln,Dortmund,1,2,A
St Pauli,Ein Frankfurt,0,0,D
Union Berlin,Werder Bremen,1,4,A
M'gladbach,St Pauli,2,0,H
Dortmund,Augsburg,2,0,H
Ein Frankfurt,Heidenheim,1,0,H
Hoffenheim,Wolfsburg,1,1,D
Leverkusen,Bayern Munich,1,1,D
Hamburg,FC Koln,1,1,D
Werder Bremen,Mainz,0,2,A
Freiburg,Union Berlin,0,1,A
Stuttgart,RB Leipzig,1,0,H
RB Leipzig,Hoffenheim,5,0,H
Bayern Munich,Union Berlin,4,0,H
FC Koln,M'gladbach,3,3,D
Heidenheim,Leverkusen,3,3,D
Wolfsburg,Werder Bremen,0,1,A
Dortmund,Hamburg,3,2,H
Mainz,Ein Frankfurt,2,1,H
St Pauli,Freiburg,1,2,A
Augsburg,Stuttgart,2,5,A
Freiburg,Bayern Munich,2,3,A
Hamburg,Augsburg,1,1,D
Hoffenheim,Mainz,1,2,A
Leverkusen,Wolfsburg,6,3,H
M'gladbach,Heidenheim,2,2,D
Werder Bremen,RB Leipzig,1,2,A
Stuttgart,Dortmund,0,2,A
Union Berlin,St Pauli,1,1,D
Ein Frankfurt,FC Koln,2,2,D
Augsburg,Hoffenheim,2,2,D
Dortmund,Leverkusen,0,1,A
Heidenheim,Union Berlin,3,1,H
RB Leipzig,M'gladbach,1,0,H
Wolfsburg,Ein Frankfurt,1,2,A
St Pauli,Bayern Munich,0,5,A
FC Koln,Werder Bremen,3,1,H
Stuttgart,Hamburg,4,0,H
Mainz,Freiburg,0,1,A
St Pauli,FC Koln,1,1,D
Hoffenheim,Dortmund,2,1,H
Leverkusen,Augsburg,1,2,A
Union Berlin,Wolfsburg,1,2,A
Werder Bremen,Hamburg,3,1,H
Ein Frankfurt,RB Leipzig,1,3,A
Freiburg,Heidenheim,2,1,H
Bayern Munich,Stuttgart,4,2,H
M'gladbach,Mainz,1,1,D
RB Leipzig,Union Berlin,3,1,H
Augsburg,Ein Frankfurt,1,1,D
FC Koln,Leverkusen,1,2,A
Heidenheim,St Pauli,2,0,H
Mainz,Bayern Munich,3,4,A
Wolfsburg,M'gladbach,0,0,D
Hamburg,Hoffenheim,1,2,A
Stuttgart,Werder Bremen,1,1,D
Dortmund,Freiburg,4,0,H
Bayern Munich,Heidenheim,3,3,D
Ein Frankfurt,Hamburg,1,2,A
Hoffenheim,Stuttgart,3,3,D
Union Berlin,FC Koln,2,2,D
Werder Bremen,Augsburg,1,3,A
Leverkusen,RB Leipzig,4,1,H
St Pauli,Mainz,1,2,A
M'gladbach,Dortmund,1,0,H
Freiburg,Wolfsburg,1,1,D
Dortmund,Ein Frankfurt,3,2,H
Augsburg,M'gladbach,3,1,H
Hoffenheim,Werder Bremen,1,0,H
RB Leipzig,St Pauli,2,1,H
Stuttgart,Leverkusen,3,1,H
Wolfsburg,Bayern Munich,0,1,A
Hamburg,Freiburg,3,2,H
FC Koln,Heidenheim,1,3,A
Mainz,Union Berlin,1,3,A
Bayern Munich,FC Koln,5,1,H
Ein Frankfurt,Stuttgart,2,2,D
Freiburg,RB Leipzig,4,1,H
Heidenheim,Mainz,0,2,A
Leverkusen,Hamburg,1,1,D
M'gladbach,Hoffenheim,4,0,H
St Pauli,Wolfsburg,1,3,A
Union Berlin,Augsburg,4,0,H
Werder Bremen,Dortmund,0,2,A
