HomeTeam,AwayTeam,FTHG,FTAG,FTR
Man City,Newcastle,2,1,H
Crystal Palace,Wolves,1,0,H
Nott'm Forest,Liverpool,0,1,A
Sunderland,Fulham,1,3,A
Tottenham,Arsenal,1,4,A
Everton,Man United,0,1,A
Wolves,Aston Villa,2,0,H
Bournemouth,Sunderland,1,1,D
Burnley,Brentford,3,4,A
Liverpool,West Ham,5,2,H
Newcastle,Everton,2,3,A
Leeds,Man City,0,1,A
Brighton,Nott'm Forest,2,1,H
Fulham,Tottenham,2,1,H
Man United,Crystal Palace,2,1,H
Arsenal,Chelsea,2,1,H
Bournemouth,Brentford,0,0,D
Everton,Burnley,2,0,H
Leeds,Sunderland,0,1,A
Wolves,Liverpool,2,1,H
Aston Villa,Chelsea,1,4,A
Brighton,Arsenal,0,1,A
Fulham,West Ham,0,1,A
Man City,Nott'm Forest,2,2,D
Newcastle,Man United,2,1,H
Tottenham,Crystal Palace,1,3,A
Burnley,Bournemouth,0,0,D
Sunderland,Brighton,0,1,A
Arsenal,Everton,2,0,H
Chelsea,Newcastle,0,1,A
West Ham,Man City,1,1,D
Crystal Palace,Leeds,0,0,D
Man United,Aston Villa,3,1,H
Nott'm Forest,Fulham,0,0,D
Liverpool,Tottenham,1,1,D
Brentford,Wolves,2,2,D
Bournemouth,Man United,2,2,D
Brighton,Liverpool,2,1,H
Fulham,Burnley,3,1,H
Everton,Chelsea,3,0,H
Leeds,Brentford,0,0,D
Newcastle,Sunderland,1,2,A
Aston Villa,West Ham,2,0,H
Tottenham,Nott'm Forest,0,3,A
West Ham,Wolves,4,0,H
Arsenal,Bournemouth,1,2,A
Brentford,Everton,2,2,D
Burnley,Brighton,0,2,A
Liverpool,Fulham,2,0,H
Crystal Palace,Newcastle,2,1,H
Nott'm Forest,Aston Villa,1,1,D
Sunderland,Tottenham,1,0,H
Chelsea,Man City,0,3,A
Man United,Leeds,1,2,A
Brentford,Fulham,0,0,D
Leeds,Wolves,3,0,H
Newcastle,Bournemouth,1,2,A
Tottenham,Brighton,2,2,D
Chelsea,Man United,0,1,A
Aston Villa,Sunderland,4,3,H
Everton,Liverpool,1,2,A
Nott'm Forest,Burnley,4,1,H
Man City,Arsenal,2,1,H
Crystal Palace,West Ham,0,0,D
Brighton,Chelsea,3,0,H
Bournemouth,Leeds,2,2,D
Burnley,Man City,0,1,A
Sunderland,Nott'm Forest,0,5,A
Fulham,Aston Villa,1,0,H
Liverpool,Crystal Palace,3,1,H
West Ham,Everton,2,1,H
Wolves,Tottenham,0,1,A
Arsenal,Newcastle,1,0,H
Man United,Brentford,2,1,H
Leeds,Burnley,3,1,H
Brentford,West Ham,3,0,H
Newcastle,Brighton,3,1,H
Wolves,Sunderland,1,1,D
Arsenal,Fulham,3,0,H
Bournemouth,Crystal Palace,3,0,H
Man United,Liverpool,3,2,H
Aston Villa,Tottenham,1,2,A
Chelsea,Nott'm Forest,1,3,A
Everton,Man City,3,3,D
Liverpool,Chelsea,1,1,D
Brighton,Wolves,3,0,H
Fulham,Bournemouth,0,1,A
Sunderland,Man United,0,0,D
Man City,Brentford,3,0,H
Burnley,Aston Villa,2,2,D
Crystal Palace,Everton,2,2,D
Nott'm Forest,Newcastle,1,1,D
West Ham,Arsenal,0,1,A
Tottenham,Leeds,1,1,D
Man City,Crystal Palace,3,0,H
Aston Villa,Liverpool,4,2,H
Man United,Nott'm Forest,3,2,H
Brentford,Crystal Palace,2,2,D
Everton,Sunderland,1,3,A
Leeds,Brighton,1,0,H
Wolves,Fulham,1,1,D
Newcastle,West Ham,3,1,H
Arsenal,Burnley,1,0,H
Bournemouth,Man City,1,1,D
Chelsea,Tottenham,2,1,H
Brighton,Man United,0,3,A
Burnley,Wolves,1,1,D
Crystal Palace,Arsenal,1,2,A
Fulham,Newcastle,2,0,H
Liverpool,Brentford,1,1,D
Man City,Aston Villa,1,2,A
Nott'm Forest,Bournemouth,1,1,D
Sunderland,Chelsea,2,1,H
Tottenham,Everton,1,0,H
West Ham,Leeds,3,0,H
Genoa,Lecce,0,0,D
Sassuolo,Napoli,0,2,A
Milan,Cremonese,1,2,A
Roma,Bologna,1,0,H
Cagliari,Fiorentina,1,1,D
Como,Lazio,2,0,H
Atalanta,Pisa,1,1,D
Juventus,Parma,2,0,H
Udinese,Verona,1,1,D
Inter,Torino,5,0,H
Cremonese,Sassuolo,3,2,H
Lecce,Milan,0,2,A
Bologna,Como,1,0,H
Parma,Atalanta,1,1,D
